frase,categoria,frase_norm,tokens,bigrams,trigrams
Por favor limpiar la puerta aqui.,Rutinas Diarias (Acciones y Hogar),por favor limpiar la puerta aqui,"['por', 'favor', 'limpiar', 'la', 'puerta', 'aqui']","['por favor', 'favor limpiar', 'limpiar la', 'la puerta', 'puerta aqui']","['por favor limpiar', 'favor limpiar la', 'limpiar la puerta', 'la puerta aqui']"
Por favor vestir la toalla alli.,Rutinas Diarias (Acciones y Hogar),por favor vestir la toalla alli,"['por', 'favor', 'vestir', 'la', 'toalla', 'alli']","['por favor', 'favor vestir', 'vestir la', 'la toalla', 'toalla alli']","['por favor vestir', 'favor vestir la', 'vestir la toalla', 'la toalla alli']"
¿Donde esta mi prima ahora.,Familia y Personas,donde esta mi prima ahora,"['donde', 'esta', 'mi', 'prima', 'ahora']","['donde esta', 'esta mi', 'mi prima', 'prima ahora']","['donde esta mi', 'esta mi prima', 'mi prima ahora']"
Quiero lavarme la cara.,Necesidades Basicas (Higiene y Fisiologia),quiero lavarme la cara,"['quiero', 'lavarme', 'la', 'cara']","['quiero lavarme', 'lavarme la', 'la cara']","['quiero lavarme la', 'lavarme la cara']"
Por favor secar la mesa despues.,Rutinas Diarias (Acciones y Hogar),por favor secar la mesa despues,"['por', 'favor', 'secar', 'la', 'mesa', 'despues']","['por favor', 'favor secar', 'secar la', 'la mesa', 'mesa despues']","['por favor secar', 'favor secar la', 'secar la mesa', 'la mesa despues']"
Necesito borrador para la clase aqui.,Escuela y Aprendizaje,necesito borrador para la clase aqui,"['necesito', 'borrador', 'para', 'la', 'clase', 'aqui']","['necesito borrador', 'borrador para', 'para la', 'la clase', 'clase aqui']","['necesito borrador para', 'borrador para la', 'para la clase', 'la clase aqui']"
Es momento de hacer figuras divertidas.,Emociones y Estados,es momento de hacer figuras divertidas,"['es', 'momento', 'de', 'hacer', 'figuras', 'divertidas']","['es momento', 'momento de', 'de hacer', 'hacer figuras', 'figuras divertidas']","['es momento de', 'momento de hacer', 'de hacer figuras', 'hacer figuras divertidas']"
Por favor lavar la ropa despacio.,Rutinas Diarias (Acciones y Hogar),por favor lavar la ropa despacio,"['por', 'favor', 'lavar', 'la', 'ropa', 'despacio']","['por favor', 'favor lavar', 'lavar la', 'la ropa', 'ropa despacio']","['por favor lavar', 'favor lavar la', 'lavar la ropa', 'la ropa despacio']"
Mi abuelo vendra a visitar manana hoy.,Familia y Personas,mi abuelo vendra a visitar manana hoy,"['mi', 'abuelo', 'vendra', 'a', 'visitar', 'manana', 'hoy']","['mi abuelo', 'abuelo vendra', 'vendra a', 'a visitar', 'visitar manana', 'manana hoy']","['mi abuelo vendra', 'abuelo vendra a', 'vendra a visitar', 'a visitar manana', 'visitar manana hoy']"
Quiero repasar mi colores.,Escuela y Aprendizaje,quiero repasar mi colores,"['quiero', 'repasar', 'mi', 'colores']","['quiero repasar', 'repasar mi', 'mi colores']","['quiero repasar mi', 'repasar mi colores']"
Vamos a usar la plastilina para crear.,Juego y Ocio,vamos a usar la plastilina para crear,"['vamos', 'a', 'usar', 'la', 'plastilina', 'para', 'crear']","['vamos a', 'a usar', 'usar la', 'la plastilina', 'plastilina para', 'para crear']","['vamos a usar', 'a usar la', 'usar la plastilina', 'la plastilina para', 'plastilina para crear']"
Hoy toca pintar.,Juego y Ocio,hoy toca pintar,"['hoy', 'toca', 'pintar']","['hoy toca', 'toca pintar']",['hoy toca pintar']
Por favor limpiar la manos hoy.,Rutinas Diarias (Acciones y Hogar),por favor limpiar la manos hoy,"['por', 'favor', 'limpiar', 'la', 'manos', 'hoy']","['por favor', 'favor limpiar', 'limpiar la', 'la manos', 'manos hoy']","['por favor limpiar', 'favor limpiar la', 'limpiar la manos', 'la manos hoy']"
Por favor quitar la puerta alli.,Rutinas Diarias (Acciones y Hogar),por favor quitar la puerta alli,"['por', 'favor', 'quitar', 'la', 'puerta', 'alli']","['por favor', 'favor quitar', 'quitar la', 'la puerta', 'puerta alli']","['por favor quitar', 'favor quitar la', 'quitar la puerta', 'la puerta alli']"
Por favor quitar la platos alli.,Rutinas Diarias (Acciones y Hogar),por favor quitar la platos alli,"['por', 'favor', 'quitar', 'la', 'platos', 'alli']","['por favor', 'favor quitar', 'quitar la', 'la platos', 'platos alli']","['por favor quitar', 'favor quitar la', 'quitar la platos', 'la platos alli']"
Por favor quitar la puerta despues.,Rutinas Diarias (Acciones y Hogar),por favor quitar la puerta despues,"['por', 'favor', 'quitar', 'la', 'puerta', 'despues']","['por favor', 'favor quitar', 'quitar la', 'la puerta', 'puerta despues']","['por favor quitar', 'favor quitar la', 'quitar la puerta', 'la puerta despues']"
Me toca respirar profundo.,Necesidades Basicas (Higiene y Fisiologia),me toca respirar profundo,"['me', 'toca', 'respirar', 'profundo']","['me toca', 'toca respirar', 'respirar profundo']","['me toca respirar', 'toca respirar profundo']"
¿Donde esta mi tia despues.,Familia y Personas,donde esta mi tia despues,"['donde', 'esta', 'mi', 'tia', 'despues']","['donde esta', 'esta mi', 'mi tia', 'tia despues']","['donde esta mi', 'esta mi tia', 'mi tia despues']"
Por favor peinar la mesa despacio.,Rutinas Diarias (Acciones y Hogar),por favor peinar la mesa despacio,"['por', 'favor', 'peinar', 'la', 'mesa', 'despacio']","['por favor', 'favor peinar', 'peinar la', 'la mesa', 'mesa despacio']","['por favor peinar', 'favor peinar la', 'peinar la mesa', 'la mesa despacio']"
Por favor lavar la luz hoy.,Rutinas Diarias (Acciones y Hogar),por favor lavar la luz hoy,"['por', 'favor', 'lavar', 'la', 'luz', 'hoy']","['por favor', 'favor lavar', 'lavar la', 'la luz', 'luz hoy']","['por favor lavar', 'favor lavar la', 'lavar la luz', 'la luz hoy']"
¿Dónde está el parque ahora.,Preguntas Simples (Peticiones de informacion),donde esta el parque ahora,"['donde', 'esta', 'el', 'parque', 'ahora']","['donde esta', 'esta el', 'el parque', 'parque ahora']","['donde esta el', 'esta el parque', 'el parque ahora']"
Por favor encender la toalla aqui.,Rutinas Diarias (Acciones y Hogar),por favor encender la toalla aqui,"['por', 'favor', 'encender', 'la', 'toalla', 'aqui']","['por favor', 'favor encender', 'encender la', 'la toalla', 'toalla aqui']","['por favor encender', 'favor encender la', 'encender la toalla', 'la toalla aqui']"
Quiero llamar a mi tia aqui.,Familia y Personas,quiero llamar a mi tia aqui,"['quiero', 'llamar', 'a', 'mi', 'tia', 'aqui']","['quiero llamar', 'llamar a', 'a mi', 'mi tia', 'tia aqui']","['quiero llamar a', 'llamar a mi', 'a mi tia', 'mi tia aqui']"
Por favor guardar la ropa por favor.,Rutinas Diarias (Acciones y Hogar),por favor guardar la ropa por favor,"['por', 'favor', 'guardar', 'la', 'ropa', 'por', 'favor']","['por favor', 'favor guardar', 'guardar la', 'la ropa', 'ropa por', 'por favor']","['por favor guardar', 'favor guardar la', 'guardar la ropa', 'la ropa por', 'ropa por favor']"
Quiero sumar mi clase.,Escuela y Aprendizaje,quiero sumar mi clase,"['quiero', 'sumar', 'mi', 'clase']","['quiero sumar', 'sumar mi', 'mi clase']","['quiero sumar mi', 'sumar mi clase']"
Por favor guardar la platos despacio.,Rutinas Diarias (Acciones y Hogar),por favor guardar la platos despacio,"['por', 'favor', 'guardar', 'la', 'platos', 'despacio']","['por favor', 'favor guardar', 'guardar la', 'la platos', 'platos despacio']","['por favor guardar', 'favor guardar la', 'guardar la platos', 'la platos despacio']"
Voy a contar hoy.,Escuela y Aprendizaje,voy a contar hoy,"['voy', 'a', 'contar', 'hoy']","['voy a', 'a contar', 'contar hoy']","['voy a contar', 'a contar hoy']"
Por favor abrir la mesa rapido.,Rutinas Diarias (Acciones y Hogar),por favor abrir la mesa rapido,"['por', 'favor', 'abrir', 'la', 'mesa', 'rapido']","['por favor', 'favor abrir', 'abrir la', 'la mesa', 'mesa rapido']","['por favor abrir', 'favor abrir la', 'abrir la mesa', 'la mesa rapido']"
Por favor abrir la ropa por favor.,Rutinas Diarias (Acciones y Hogar),por favor abrir la ropa por favor,"['por', 'favor', 'abrir', 'la', 'ropa', 'por', 'favor']","['por favor', 'favor abrir', 'abrir la', 'la ropa', 'ropa por', 'por favor']","['por favor abrir', 'favor abrir la', 'abrir la ropa', 'la ropa por', 'ropa por favor']"
¿Quién es tu amigo hoy.,Preguntas Simples (Peticiones de informacion),quien es tu amigo hoy,"['quien', 'es', 'tu', 'amigo', 'hoy']","['quien es', 'es tu', 'tu amigo', 'amigo hoy']","['quien es tu', 'es tu amigo', 'tu amigo hoy']"
Por favor lavar la platos ahora.,Rutinas Diarias (Acciones y Hogar),por favor lavar la platos ahora,"['por', 'favor', 'lavar', 'la', 'platos', 'ahora']","['por favor', 'favor lavar', 'lavar la', 'la platos', 'platos ahora']","['por favor lavar', 'favor lavar la', 'lavar la platos', 'la platos ahora']"
Por favor encender la ropa hoy.,Rutinas Diarias (Acciones y Hogar),por favor encender la ropa hoy,"['por', 'favor', 'encender', 'la', 'ropa', 'hoy']","['por favor', 'favor encender', 'encender la', 'la ropa', 'ropa hoy']","['por favor encender', 'favor encender la', 'encender la ropa', 'la ropa hoy']"
A jugar a las escondidas conmigo.,Juego y Ocio,a jugar a las escondidas conmigo,"['a', 'jugar', 'a', 'las', 'escondidas', 'conmigo']","['a jugar', 'jugar a', 'a las', 'las escondidas', 'escondidas conmigo']","['a jugar a', 'jugar a las', 'a las escondidas', 'las escondidas conmigo']"
Voy a secarme por favor.,Necesidades Basicas (Higiene y Fisiologia),voy a secarme por favor,"['voy', 'a', 'secarme', 'por', 'favor']","['voy a', 'a secarme', 'secarme por', 'por favor']","['voy a secarme', 'a secarme por', 'secarme por favor']"
A ver quién tiene mejor memoria.,Emociones y Estados,a ver quien tiene mejor memoria,"['a', 'ver', 'quien', 'tiene', 'mejor', 'memoria']","['a ver', 'ver quien', 'quien tiene', 'tiene mejor', 'mejor memoria']","['a ver quien', 'ver quien tiene', 'quien tiene mejor', 'tiene mejor memoria']"
Mi papa vendra a visitar manana ahora.,Familia y Personas,mi papa vendra a visitar manana ahora,"['mi', 'papa', 'vendra', 'a', 'visitar', 'manana', 'ahora']","['mi papa', 'papa vendra', 'vendra a', 'a visitar', 'visitar manana', 'manana ahora']","['mi papa vendra', 'papa vendra a', 'vendra a visitar', 'a visitar manana', 'visitar manana ahora']"
Quiero repasar mi colores despues.,Escuela y Aprendizaje,quiero repasar mi colores despues,"['quiero', 'repasar', 'mi', 'colores', 'despues']","['quiero repasar', 'repasar mi', 'mi colores', 'colores despues']","['quiero repasar mi', 'repasar mi colores', 'mi colores despues']"
Por favor encender la cama por favor.,Rutinas Diarias (Acciones y Hogar),por favor encender la cama por favor,"['por', 'favor', 'encender', 'la', 'cama', 'por', 'favor']","['por favor', 'favor encender', 'encender la', 'la cama', 'cama por', 'por favor']","['por favor encender', 'favor encender la', 'encender la cama', 'la cama por', 'cama por favor']"
Por favor encender la platos alli.,Rutinas Diarias (Acciones y Hogar),por favor encender la platos alli,"['por', 'favor', 'encender', 'la', 'platos', 'alli']","['por favor', 'favor encender', 'encender la', 'la platos', 'platos alli']","['por favor encender', 'favor encender la', 'encender la platos', 'la platos alli']"
Peinar la puerta.,Rutinas Diarias (Acciones y Hogar),peinar la puerta,"['peinar', 'la', 'puerta']","['peinar la', 'la puerta']",['peinar la puerta']
Por favor limpiar la puerta por favor.,Rutinas Diarias (Acciones y Hogar),por favor limpiar la puerta por favor,"['por', 'favor', 'limpiar', 'la', 'puerta', 'por', 'favor']","['por favor', 'favor limpiar', 'limpiar la', 'la puerta', 'puerta por', 'por favor']","['por favor limpiar', 'favor limpiar la', 'limpiar la puerta', 'la puerta por', 'puerta por favor']"
Vamos a ¿donde esta mi tio?,Familia y Personas,vamos a donde esta mi tio,"['vamos', 'a', 'donde', 'esta', 'mi', 'tio']","['vamos a', 'a donde', 'donde esta', 'esta mi', 'mi tio']","['vamos a donde', 'a donde esta', 'donde esta mi', 'esta mi tio']"
Por favor ordenar la puerta despues.,Rutinas Diarias (Acciones y Hogar),por favor ordenar la puerta despues,"['por', 'favor', 'ordenar', 'la', 'puerta', 'despues']","['por favor', 'favor ordenar', 'ordenar la', 'la puerta', 'puerta despues']","['por favor ordenar', 'favor ordenar la', 'ordenar la puerta', 'la puerta despues']"
Por favor abrir la toalla ahora.,Rutinas Diarias (Acciones y Hogar),por favor abrir la toalla ahora,"['por', 'favor', 'abrir', 'la', 'toalla', 'ahora']","['por favor', 'favor abrir', 'abrir la', 'la toalla', 'toalla ahora']","['por favor abrir', 'favor abrir la', 'abrir la toalla', 'la toalla ahora']"
Por favor vestir la juguetes rapido.,Rutinas Diarias (Acciones y Hogar),por favor vestir la juguetes rapido,"['por', 'favor', 'vestir', 'la', 'juguetes', 'rapido']","['por favor', 'favor vestir', 'vestir la', 'la juguetes', 'juguetes rapido']","['por favor vestir', 'favor vestir la', 'vestir la juguetes', 'la juguetes rapido']"
Quiero sumar mi libro despues.,Escuela y Aprendizaje,quiero sumar mi libro despues,"['quiero', 'sumar', 'mi', 'libro', 'despues']","['quiero sumar', 'sumar mi', 'mi libro', 'libro despues']","['quiero sumar mi', 'sumar mi libro', 'mi libro despues']"
Por favor guardar la mesa aqui.,Rutinas Diarias (Acciones y Hogar),por favor guardar la mesa aqui,"['por', 'favor', 'guardar', 'la', 'mesa', 'aqui']","['por favor', 'favor guardar', 'guardar la', 'la mesa', 'mesa aqui']","['por favor guardar', 'favor guardar la', 'guardar la mesa', 'la mesa aqui']"
Hoy toca jugar con el rompecabezas.,Juego y Ocio,hoy toca jugar con el rompecabezas,"['hoy', 'toca', 'jugar', 'con', 'el', 'rompecabezas']","['hoy toca', 'toca jugar', 'jugar con', 'con el', 'el rompecabezas']","['hoy toca jugar', 'toca jugar con', 'jugar con el', 'con el rompecabezas']"
Voy a dibujar por favor.,Escuela y Aprendizaje,voy a dibujar por favor,"['voy', 'a', 'dibujar', 'por', 'favor']","['voy a', 'a dibujar', 'dibujar por', 'por favor']","['voy a dibujar', 'a dibujar por', 'dibujar por favor']"
Mi prima no vendra a visitar manana.,Familia y Personas,mi prima no vendra a visitar manana,"['mi', 'prima', 'no', 'vendra', 'a', 'visitar', 'manana']","['mi prima', 'prima no', 'no vendra', 'vendra a', 'a visitar', 'visitar manana']","['mi prima no', 'prima no vendra', 'no vendra a', 'vendra a visitar', 'a visitar manana']"
Por favor ordenar la manos alli.,Rutinas Diarias (Acciones y Hogar),por favor ordenar la manos alli,"['por', 'favor', 'ordenar', 'la', 'manos', 'alli']","['por favor', 'favor ordenar', 'ordenar la', 'la manos', 'manos alli']","['por favor ordenar', 'favor ordenar la', 'ordenar la manos', 'la manos alli']"
¿Donde esta mi papa ahora.,Familia y Personas,donde esta mi papa ahora,"['donde', 'esta', 'mi', 'papa', 'ahora']","['donde esta', 'esta mi', 'mi papa', 'papa ahora']","['donde esta mi', 'esta mi papa', 'mi papa ahora']"
Por favor abrir la cama aqui.,Rutinas Diarias (Acciones y Hogar),por favor abrir la cama aqui,"['por', 'favor', 'abrir', 'la', 'cama', 'aqui']","['por favor', 'favor abrir', 'abrir la', 'la cama', 'cama aqui']","['por favor abrir', 'favor abrir la', 'abrir la cama', 'la cama aqui']"
Necesito clase para la clase ahora.,Escuela y Aprendizaje,necesito clase para la clase ahora,"['necesito', 'clase', 'para', 'la', 'clase', 'ahora']","['necesito clase', 'clase para', 'para la', 'la clase', 'clase ahora']","['necesito clase para', 'clase para la', 'para la clase', 'la clase ahora']"
Quiero llamar a mi hermana hoy.,Familia y Personas,quiero llamar a mi hermana hoy,"['quiero', 'llamar', 'a', 'mi', 'hermana', 'hoy']","['quiero llamar', 'llamar a', 'a mi', 'mi hermana', 'hermana hoy']","['quiero llamar a', 'llamar a mi', 'a mi hermana', 'mi hermana hoy']"
Por favor peinar la cepillo por favor.,Rutinas Diarias (Acciones y Hogar),por favor peinar la cepillo por favor,"['por', 'favor', 'peinar', 'la', 'cepillo', 'por', 'favor']","['por favor', 'favor peinar', 'peinar la', 'la cepillo', 'cepillo por', 'por favor']","['por favor peinar', 'favor peinar la', 'peinar la cepillo', 'la cepillo por', 'cepillo por favor']"
Dibujemos juntos algo divertido.,Juego y Ocio,dibujemos juntos algo divertido,"['dibujemos', 'juntos', 'algo', 'divertido']","['dibujemos juntos', 'juntos algo', 'algo divertido']","['dibujemos juntos algo', 'juntos algo divertido']"
Mi abuela no vendra a visitar manana.,Familia y Personas,mi abuela no vendra a visitar manana,"['mi', 'abuela', 'no', 'vendra', 'a', 'visitar', 'manana']","['mi abuela', 'abuela no', 'no vendra', 'vendra a', 'a visitar', 'visitar manana']","['mi abuela no', 'abuela no vendra', 'no vendra a', 'vendra a visitar', 'a visitar manana']"
Por favor poner la cepillo aqui.,Rutinas Diarias (Acciones y Hogar),por favor poner la cepillo aqui,"['por', 'favor', 'poner', 'la', 'cepillo', 'aqui']","['por favor', 'favor poner', 'poner la', 'la cepillo', 'cepillo aqui']","['por favor poner', 'favor poner la', 'poner la cepillo', 'la cepillo aqui']"
Me gusta respirar profundo.,Necesidades Basicas (Higiene y Fisiologia),me gusta respirar profundo,"['me', 'gusta', 'respirar', 'profundo']","['me gusta', 'gusta respirar', 'respirar profundo']","['me gusta respirar', 'gusta respirar profundo']"
¿Cómo se usa la cafetera alli.,Preguntas Simples (Peticiones de informacion),como se usa la cafetera alli,"['como', 'se', 'usa', 'la', 'cafetera', 'alli']","['como se', 'se usa', 'usa la', 'la cafetera', 'cafetera alli']","['como se usa', 'se usa la', 'usa la cafetera', 'la cafetera alli']"
¿Cómo se usa la bicicleta rapido.,Preguntas Simples (Peticiones de informacion),como se usa la bicicleta rapido,"['como', 'se', 'usa', 'la', 'bicicleta', 'rapido']","['como se', 'se usa', 'usa la', 'la bicicleta', 'bicicleta rapido']","['como se usa', 'se usa la', 'usa la bicicleta', 'la bicicleta rapido']"
Vamos a necesito colores para la clase.,Escuela y Aprendizaje,vamos a necesito colores para la clase,"['vamos', 'a', 'necesito', 'colores', 'para', 'la', 'clase']","['vamos a', 'a necesito', 'necesito colores', 'colores para', 'para la', 'la clase']","['vamos a necesito', 'a necesito colores', 'necesito colores para', 'colores para la', 'para la clase']"
Juega a pintar conmigo.,Juego y Ocio,juega a pintar conmigo,"['juega', 'a', 'pintar', 'conmigo']","['juega a', 'a pintar', 'pintar conmigo']","['juega a pintar', 'a pintar conmigo']"
Mi mama vendra a visitar manana despacio.,Familia y Personas,mi mama vendra a visitar manana despacio,"['mi', 'mama', 'vendra', 'a', 'visitar', 'manana', 'despacio']","['mi mama', 'mama vendra', 'vendra a', 'a visitar', 'visitar manana', 'manana despacio']","['mi mama vendra', 'mama vendra a', 'vendra a visitar', 'a visitar manana', 'visitar manana despacio']"
¿Dónde está el parque despacio.,Preguntas Simples (Peticiones de informacion),donde esta el parque despacio,"['donde', 'esta', 'el', 'parque', 'despacio']","['donde esta', 'esta el', 'el parque', 'parque despacio']","['donde esta el', 'esta el parque', 'el parque despacio']"
Recuerda lavarte la cara.,Necesidades Basicas (Higiene y Fisiologia),recuerda lavarte la cara,"['recuerda', 'lavarte', 'la', 'cara']","['recuerda lavarte', 'lavarte la', 'la cara']","['recuerda lavarte la', 'lavarte la cara']"
Por favor lavar la luz por favor.,Rutinas Diarias (Acciones y Hogar),por favor lavar la luz por favor,"['por', 'favor', 'lavar', 'la', 'luz', 'por', 'favor']","['por favor', 'favor lavar', 'lavar la', 'la luz', 'luz por', 'por favor']","['por favor lavar', 'favor lavar la', 'lavar la luz', 'la luz por', 'luz por favor']"
Por favor guardar la luz hoy.,Rutinas Diarias (Acciones y Hogar),por favor guardar la luz hoy,"['por', 'favor', 'guardar', 'la', 'luz', 'hoy']","['por favor', 'favor guardar', 'guardar la', 'la luz', 'luz hoy']","['por favor guardar', 'favor guardar la', 'guardar la luz', 'la luz hoy']"
Limpiar la ropa.,Rutinas Diarias (Acciones y Hogar),limpiar la ropa,"['limpiar', 'la', 'ropa']","['limpiar la', 'la ropa']",['limpiar la ropa']
¿Dónde está el parque hoy.,Preguntas Simples (Peticiones de informacion),donde esta el parque hoy,"['donde', 'esta', 'el', 'parque', 'hoy']","['donde esta', 'esta el', 'el parque', 'parque hoy']","['donde esta el', 'esta el parque', 'el parque hoy']"
Apagar la toalla.,Rutinas Diarias (Acciones y Hogar),apagar la toalla,"['apagar', 'la', 'toalla']","['apagar la', 'la toalla']",['apagar la toalla']
Por favor apagar la juguetes despacio.,Rutinas Diarias (Acciones y Hogar),por favor apagar la juguetes despacio,"['por', 'favor', 'apagar', 'la', 'juguetes', 'despacio']","['por favor', 'favor apagar', 'apagar la', 'la juguetes', 'juguetes despacio']","['por favor apagar', 'favor apagar la', 'apagar la juguetes', 'la juguetes despacio']"
Por favor ordenar la manos hoy.,Rutinas Diarias (Acciones y Hogar),por favor ordenar la manos hoy,"['por', 'favor', 'ordenar', 'la', 'manos', 'hoy']","['por favor', 'favor ordenar', 'ordenar la', 'la manos', 'manos hoy']","['por favor ordenar', 'favor ordenar la', 'ordenar la manos', 'la manos hoy']"
Quiero llamar a mi hermana aqui.,Familia y Personas,quiero llamar a mi hermana aqui,"['quiero', 'llamar', 'a', 'mi', 'hermana', 'aqui']","['quiero llamar', 'llamar a', 'a mi', 'mi hermana', 'hermana aqui']","['quiero llamar a', 'llamar a mi', 'a mi hermana', 'mi hermana aqui']"
Vamos a poner la juguetes.,Rutinas Diarias (Acciones y Hogar),vamos a poner la juguetes,"['vamos', 'a', 'poner', 'la', 'juguetes']","['vamos a', 'a poner', 'poner la', 'la juguetes']","['vamos a poner', 'a poner la', 'poner la juguetes']"
Mi abuelo vendra a visitar manana despacio.,Familia y Personas,mi abuelo vendra a visitar manana despacio,"['mi', 'abuelo', 'vendra', 'a', 'visitar', 'manana', 'despacio']","['mi abuelo', 'abuelo vendra', 'vendra a', 'a visitar', 'visitar manana', 'manana despacio']","['mi abuelo vendra', 'abuelo vendra a', 'vendra a visitar', 'a visitar manana', 'visitar manana despacio']"
Juguemos con colores de plastilina.,Juego y Ocio,juguemos con colores de plastilina,"['juguemos', 'con', 'colores', 'de', 'plastilina']","['juguemos con', 'con colores', 'colores de', 'de plastilina']","['juguemos con colores', 'con colores de', 'colores de plastilina']"
Peinar la ropa.,Rutinas Diarias (Acciones y Hogar),peinar la ropa,"['peinar', 'la', 'ropa']","['peinar la', 'la ropa']",['peinar la ropa']
Voy a contar ahora.,Escuela y Aprendizaje,voy a contar ahora,"['voy', 'a', 'contar', 'ahora']","['voy a', 'a contar', 'contar ahora']","['voy a contar', 'a contar ahora']"
Quiero llamar a mi vecino despues.,Familia y Personas,quiero llamar a mi vecino despues,"['quiero', 'llamar', 'a', 'mi', 'vecino', 'despues']","['quiero llamar', 'llamar a', 'a mi', 'mi vecino', 'vecino despues']","['quiero llamar a', 'llamar a mi', 'a mi vecino', 'mi vecino despues']"
¿Cómo se usa la router ahora.,Preguntas Simples (Peticiones de informacion),como se usa la router ahora,"['como', 'se', 'usa', 'la', 'router', 'ahora']","['como se', 'se usa', 'usa la', 'la router', 'router ahora']","['como se usa', 'se usa la', 'usa la router', 'la router ahora']"
Por favor lavar la luz ahora.,Rutinas Diarias (Acciones y Hogar),por favor lavar la luz ahora,"['por', 'favor', 'lavar', 'la', 'luz', 'ahora']","['por favor', 'favor lavar', 'lavar la', 'la luz', 'luz ahora']","['por favor lavar', 'favor lavar la', 'lavar la luz', 'la luz ahora']"
Por favor quitar la cama alli.,Rutinas Diarias (Acciones y Hogar),por favor quitar la cama alli,"['por', 'favor', 'quitar', 'la', 'cama', 'alli']","['por favor', 'favor quitar', 'quitar la', 'la cama', 'cama alli']","['por favor quitar', 'favor quitar la', 'quitar la cama', 'la cama alli']"
Voy a ducharme por favor.,Necesidades Basicas (Higiene y Fisiologia),voy a ducharme por favor,"['voy', 'a', 'ducharme', 'por', 'favor']","['voy a', 'a ducharme', 'ducharme por', 'por favor']","['voy a ducharme', 'a ducharme por', 'ducharme por favor']"
Peinar la juguetes.,Rutinas Diarias (Acciones y Hogar),peinar la juguetes,"['peinar', 'la', 'juguetes']","['peinar la', 'la juguetes']",['peinar la juguetes']
Por favor cerrar la ropa alli.,Rutinas Diarias (Acciones y Hogar),por favor cerrar la ropa alli,"['por', 'favor', 'cerrar', 'la', 'ropa', 'alli']","['por favor', 'favor cerrar', 'cerrar la', 'la ropa', 'ropa alli']","['por favor cerrar', 'favor cerrar la', 'cerrar la ropa', 'la ropa alli']"
Mi hermana no vendra a visitar manana.,Familia y Personas,mi hermana no vendra a visitar manana,"['mi', 'hermana', 'no', 'vendra', 'a', 'visitar', 'manana']","['mi hermana', 'hermana no', 'no vendra', 'vendra a', 'a visitar', 'visitar manana']","['mi hermana no', 'hermana no vendra', 'no vendra a', 'vendra a visitar', 'a visitar manana']"
Necesito tarea para la clase ahora.,Escuela y Aprendizaje,necesito tarea para la clase ahora,"['necesito', 'tarea', 'para', 'la', 'clase', 'ahora']","['necesito tarea', 'tarea para', 'para la', 'la clase', 'clase ahora']","['necesito tarea para', 'tarea para la', 'para la clase', 'la clase ahora']"
Quiero llamar a mi primo aqui.,Familia y Personas,quiero llamar a mi primo aqui,"['quiero', 'llamar', 'a', 'mi', 'primo', 'aqui']","['quiero llamar', 'llamar a', 'a mi', 'mi primo', 'primo aqui']","['quiero llamar a', 'llamar a mi', 'a mi primo', 'mi primo aqui']"
Por favor secar la juguetes hoy.,Rutinas Diarias (Acciones y Hogar),por favor secar la juguetes hoy,"['por', 'favor', 'secar', 'la', 'juguetes', 'hoy']","['por favor', 'favor secar', 'secar la', 'la juguetes', 'juguetes hoy']","['por favor secar', 'favor secar la', 'secar la juguetes', 'la juguetes hoy']"
Por favor ordenar la platos despues.,Rutinas Diarias (Acciones y Hogar),por favor ordenar la platos despues,"['por', 'favor', 'ordenar', 'la', 'platos', 'despues']","['por favor', 'favor ordenar', 'ordenar la', 'la platos', 'platos despues']","['por favor ordenar', 'favor ordenar la', 'ordenar la platos', 'la platos despues']"
Apagar la platos.,Rutinas Diarias (Acciones y Hogar),apagar la platos,"['apagar', 'la', 'platos']","['apagar la', 'la platos']",['apagar la platos']
Voy a secarme rapido.,Necesidades Basicas (Higiene y Fisiologia),voy a secarme rapido,"['voy', 'a', 'secarme', 'rapido']","['voy a', 'a secarme', 'secarme rapido']","['voy a secarme', 'a secarme rapido']"
Por favor poner la cama hoy.,Rutinas Diarias (Acciones y Hogar),por favor poner la cama hoy,"['por', 'favor', 'poner', 'la', 'cama', 'hoy']","['por favor', 'favor poner', 'poner la', 'la cama', 'cama hoy']","['por favor poner', 'favor poner la', 'poner la cama', 'la cama hoy']"
Por favor limpiar la cepillo aqui.,Rutinas Diarias (Acciones y Hogar),por favor limpiar la cepillo aqui,"['por', 'favor', 'limpiar', 'la', 'cepillo', 'aqui']","['por favor', 'favor limpiar', 'limpiar la', 'la cepillo', 'cepillo aqui']","['por favor limpiar', 'favor limpiar la', 'limpiar la cepillo', 'la cepillo aqui']"
Por favor poner la mesa alli.,Rutinas Diarias (Acciones y Hogar),por favor poner la mesa alli,"['por', 'favor', 'poner', 'la', 'mesa', 'alli']","['por favor', 'favor poner', 'poner la', 'la mesa', 'mesa alli']","['por favor poner', 'favor poner la', 'poner la mesa', 'la mesa alli']"
Por favor apagar la luz hoy.,Rutinas Diarias (Acciones y Hogar),por favor apagar la luz hoy,"['por', 'favor', 'apagar', 'la', 'luz', 'hoy']","['por favor', 'favor apagar', 'apagar la', 'la luz', 'luz hoy']","['por favor apagar', 'favor apagar la', 'apagar la luz', 'la luz hoy']"
